original_line,game_name,bgg_id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,status,rating_category,game_type,rank_display,image_filename
mein name ist,mein name ist,59149.0,Bunny Bunny Moose Moose,2009,6820,5.66616,6.03844,1065,0,,,,,479.0,,,,Found,Below Average (<6.5),Base Game,#6820,Bunny Bunny Moose Moose_2009_59149.jpg
squadro,squadro,245222.0,Squadro,2018,7228,5.65002,6.40612,541,0,298.0,,,,,,,,Found,Below Average (<6.5),Base Game,#7228,Squadro_2018_245222.jpg
living forest duell,living forest duell,427260.0,Living Forest Duel,2025,9094,5.59921,6.3166,318,0,,,,,,,,,Found,Below Average (<6.5),Base Game,#9094,Living Forest Duel_2025_427260.jpg
werwölfe,werwölfe,255356.0,Werwölfe,2017,9573,5.58997,6.55736,237,0,,,,,,,,,Found,Below Average (<6.5),Base Game,#9573,Werwölfe_2017_255356.jpg
cortex,cortex,297478.0,Cortex + Challenge,2018,11188,5.56642,6.33791,235,0,,,,,,,,,Found,Below Average (<6.5),Base Game,#11188,Cortex + Challenge_2018_297478.jpg
crime zoom,crime zoom,321306.0,Crime Zoom: A Deadly Writer,2020,11412,5.56374,6.72898,129,0,,,,,,,,,Found,Below Average (<6.5),Base Game,#11412,Crime Zoom_ A Deadly Writer_2020_321306.jpg
aya,aya,182194.0,AYA,2015,16361,5.52853,5.74122,327,0,,,,,,,,,Found,Below Average (<6.5),Base Game,#16361,AYA_2015_182194.jpg
space missions,space missions,408590.0,Space Missions,2024,18339,5.52091,6.92805,41,0,,,,,,,,,Found,Below Average (<6.5),Base Game,#18339,Space Missions_2024_408590.jpg
Paleo,Paleo,38865.0,Paleo,2008,20045,5.51515,6.908,30,0,,,,,,,,,Found,Below Average (<6.5),Base Game,#20045,Paleo_2008_38865.jpg
mandala,mandala,2991.0,Mandala,1983,24862,5.49846,5.71667,42,0,1224.0,,,,,,,,Found,Below Average (<6.5),Base Game,#24862,Mandala_1983_2991.jpg
Klugscheisser.2,Klugscheisser.2,137168.0,Klugscheisser 2: Edition Krasses Wissen,0,27880,5.47489,4.52069,58,0,,,,,,,,,No good match found,Below Average (<6.5),Base Game,#27880,Klugscheisser 2_ Edition Krasses Wissen_0_137168.jpg
quicksand,quicksand,2518.0,Quicksand,1989,28495,5.45839,4.90316,158,0,,,,,,,,,Found,Below Average (<6.5),Base Game,#28495,Quicksand_1989_2518.jpg
linyo,linyo,440347.0,Linyo,2025,0,0.0,7.38333,12,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Linyo_2025_440347.png
robinson crusoe deluxe,robinson crusoe deluxe,334931.0,Robinson Crusoe: Adventures on the Cursed Island – Collector's Edition (Gamefound Edition),2024,0,5.93327,7.19563,788,0,,,,,,,,,No good match found,Below Average (<6.5),Base Game,Unranked,Robinson Crusoe_ Adventures on the Cursed Island – Collector's Edition (Gamefound Edition)_2024_334931.jpg
darwin # nicht gefunden,darwin,359156.0,Darwin Awards Party Card Game,2023,0,0.0,10.0,4,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Darwin Awards Party Card Game_2023_359156.png
terra mystica big box,terra mystica big box,356238.0,Terra Mystica: Big Box,2022,0,5.97501,8.71619,409,0,,,,,,,,,No good match found,Below Average (<6.5),Base Game,Unranked,Terra Mystica_ Big Box_2022_356238.jpg
isle of skye big box,isle of skye big box,369258.0,Isle of Skye: Big Box,2022,0,5.90652,7.91872,466,0,,,,,,,,,No good match found,Below Average (<6.5),Base Game,Unranked,Isle of Skye_ Big Box_2022_369258.jpg
die zwerge big box,die zwerge big box,302882.0,The Dwarves: Big Box,2021,0,5.71051,7.35208,312,0,,,,,,,,,No good match found,Below Average (<6.5),Base Game,Unranked,The Dwarves_ Big Box_2021_302882.jpg
https://boardgamegeek.com/boardgame/364405/carcassonne-big-box-7 # carcassonne big box,,364405.0,Carcassonne Big Box 7,2021,0,6.24698,8.2599,1001,0,,,,,,,,,Extracted from URL,Below Average (<6.5),Base Game,Unranked,Carcassonne Big Box 7_2021_364405.jpg
hai noon,hai noon,281016.0,Hai Noon,2020,0,0.0,7.16667,6,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Hai Noon_2020_281016.jpg
https://boardgamegeek.com/boardgame/286749/hansa-teutonica-big-box # hansa teutonica,,286749.0,Hansa Teutonica: Big Box,2020,0,7.63222,8.37806,6726,0,,,,,,,,,Extracted from URL,Very Good (7.5-7.9),Base Game,Unranked,Hansa Teutonica_ Big Box_2020_286749.jpg
the castles of burgundy,the castles of burgundy,271320.0,The Castles of Burgundy,2019,0,7.98423,8.4485,13613,0,,,,,,,,,Found,Very Good (7.5-7.9),Base Game,Unranked,The Castles of Burgundy_2019_271320.jpg
istanbul big box,istanbul big box,251219.0,Istanbul: Big Box,2018,0,7.15262,8.00541,4744,0,,,,,,,,,No good match found,Good (7.0-7.4),Base Game,Unranked,Istanbul_ Big Box_2018_251219.png
faraway,faraway,168949.0,Faraway,2016,0,0.0,6.6375,8,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Faraway_2016_168949.png
waldgärtner,waldgärtner,208171.0,Waldgärtner,2016,0,0.0,6.29091,11,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Waldgärtner_2016_208171.jpg
black forest,black forest,128484.0,Black Forest,2015,0,0.0,7.5,8,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Black Forest_2015_128484.jpg
perspectives,perspectives,168325.0,Perspectives,2013,0,0.0,6.0,2,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Perspectives_2013_168325.png
ritual,ritual,68009.0,Ritual,2010,0,0.0,5.83333,3,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Ritual_2010_68009.jpg
sagrada,sagrada,107448.0,Sagrada,2007,0,0.0,6.76818,11,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Sagrada_2007_107448.jpg
scout,scout,26681.0,Scout,1985,0,0.0,6.4,5,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Scout_1985_26681.jpg
run,run,12122.0,Run,1985,0,0.0,6.15385,13,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Run_1985_12122.png
bang,bang,80653.0,"All About Town: Greater Bangor, ME",1979,0,0.0,0.0,0,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,"All About Town_ Greater Bangor, ME_1979_80653.jpg"
bonsai,bonsai,200153.0,Bonsai,0,0,0.0,9.0,1,0,,,,,,,,,Found,Not Rated,Base Game,Unranked,Bonsai_0_200153.jpg
dune imperium,dune imperium,441634.0,Dune Imperium: Pivotal Gambit Promo Card,2025,0,0.0,6.08,5,1,,,,,,,,,Found,Not Rated,Expansion,Unranked,Dune Imperium_ Pivotal Gambit Promo Card_2025_441634.png
Legendary # ???,Legendary,433610.0,2D6 Legendary Dungeon,2025,0,0.0,9.0,2,1,,,,,,,,,Found,Not Rated,Expansion,Unranked,2D6 Legendary Dungeon_2025_433610.jpg
